a bit	một chút, một tí
a couple	một cặp, một đôi
a few	một ít, một vài
abandon	bỏ, ruồng bỏ
abandoned	bị bỏ rơi, bị ruồng bỏ
ability	khả năng, năng lực
able	có năng lực, có tài
about	khoảng, về
above	ở trên, lên trên
abroad	ở, ra nước ngoài
absent	vắng mặt
absolute	tuyệt đối hoàn toàn
absorb	thu hút, hấp dẫn
abuse	lộng hành, lạm dụng
academic	thuộc học viện, đh, viện hàn lâm
accent	trọng âm, dấu trọng âm
accept	chấp nhận, chấp thuận
acceptable	có thể chấp nhận
access	lối, cửa, đường vào
accident	tai nạn, rủi ro
accidental	tình cờ, bất ngờ
accommodation	sự thích nghi, điều tiết
accopany	đi theo, đi cùng
according to	theo như
account	tài khoản, kế toán
accurate	đúng đắn, chính xác
accuse	tố cáo, buộc tội
achieve	đạt được, giành được
achievement	thành tích, thành tựu
acid	axit
acknowledge	công nhận, thừa nhận
acquire	dành được, đạt được
across	qua, ngang qua
act	hành động, hành vi
action	hành vi, động tác
active	tích cực hoạt động, nhanh nhẹn
actor	diễn viên nam
actress	diễn viên nữ
actual	thực tế, có thật
adapt	tra, lắp vào
add	cộng, thêm vào
addition	tính cộng, phép cộng
additional	thêm vào, tăng thêm
address	địa chỉ, đề địa chỉ
adequate	đầy, đầy đủ
adequately	tương xứng, thỏa đáng
adjust	sửa lại cho đúng, điều chỉnh
admiration	sự khâm phục,người kp, thán phục
admire	khâm phục, thán phục
admit	nhận vào, cho vào, kết hợp
adopt	nhận làm con nuôi, bố mẹ nuôi
adult	người lớn, người trưởng thành; trưởng thành
advance	sự tiến bộ, tiến lên; đưa lên, đề xuất
advanced	tiên tiến, tiến bộ, cấp cao
advantage	sự thuận lợi, lợi ích, lợi thế
adventure	sự phiêu lưu, mạo hiểm
advertise	báo cho biết, báo cho biết trước
advertisement	quảng cáo
advertisement	quảng cáo
advertising	sự quảng cáo, nghề quảng cáo
advice	lời khuyên, lời chỉ bảo
advise	khuyên, khuyên bảo, răn bảo
affair	việc
affect	làm ảnh hưởng, tác động đến
affection	sự ảnh hưởng, sự tác động
afford	có thể, có đủ khả năng, điều kiện (làm gì)
afraid	sợ, sợ hãi, hoảng sợ
after	sau, đằng sau, sau khi
afternoon	buổi chiều
afterwards	sau này, về sau, rồi thì, sau đấy
again	lại, nữa, lần nữa
against	chống lại, phản đối
